1	5	9	0.00		1609.00
2	8	9	0.00		
3	9	9	1.00		
4	6	9	0.00		
5	3	9	0.00		
6	9	9	1.00		
7	9	9	1.00		
8	7	9	0.00		
9	6	9	0.00		
10	6	9	0.00		
11	9	9	1.00		
12	9	9	1.00		
13	5	9	0.00		
14	1	9	0.00		
15	9	9	1.00		
16	0	9	0.00		
17	9	9	1.00		
18	8	9	0.00		
19	8	9	0.00		
20	7	9	0.00		
21	6	9	0.00		
22	8	9	0.00		
23	9	9	1.00		
24	5	9	0.00		
25	9	9	1.00		
26	2	9	0.00		
27	9	9	1.00		
28	9	9	1.00		
29	0	9	0.00		
30	0	9	0.00		
31	1	9	0.00		
32	8	9	0.00		
33	1	9	0.00		
34	3	9	0.00		
35	9	9	1.00		
36	6	9	0.00		
37	0	9	0.00		
38	7	9	0.00		
39	3	9	0.00		
40	8	9	0.00		
41	9	9	1.00		
42	8	9	0.00		
43	8	9	0.00		
44	9	9	1.00		
45	0	9	0.00		
46	9	9	1.00		
47	6	9	0.00		
48	3	9	0.00		
49	8	9	0.00		
50	5	9	0.00		
51	8	9	0.00		
52	7	9	0.00		
53	6	9	0.00		
54	1	9	0.00		
55	6	9	0.00		
56	4	9	0.00		
57	9	9	1.00		
58	3	9	0.00		
59	5	9	0.00		
60	8	9	0.00		
61	9	9	1.00		
62	0	9	0.00		
63	8	9	0.00		
64	8	9	0.00		
65	5	9	0.00		
66	6	9	0.00		
67	8	9	0.00		
68	0	9	0.00		
69	0	9	0.00		
70	1	9	0.00		
71	8	9	0.00		
72	9	9	1.00		
73	3	9	0.00		
74	1	9	0.00		
75	2	9	0.00		
76	3	9	0.00		
77	1	9	0.00		
78	8	9	0.00		
79	9	9	1.00		
80	9	9	1.00		
81	1	9	0.00		
82	0	9	0.00		
83	1	9	0.00		
84	2	9	0.00		
85	0	9	0.00		
86	1	9	0.00		
87	9	9	1.00		
88	0	9	0.00		
89	2	9	0.00		
90	1	9	0.00		
91	9	9	1.00		
92	6	9	0.00		
93	2	9	0.00		
94	3	9	0.00		
95	0	9	0.00		
96	8	9	0.00		
97	8	9	0.00		
98	2	9	0.00		
99	5	9	0.00		
100	1	9	0.00		
101	9	9	1.00		
102	1	9	0.00		
103	0	9	0.00		
104	0	9	0.00		
105	8	9	0.00		
106	9	9	1.00		
107	9	9	1.00		
108	8	9	0.00		
109	3	9	0.00		
110	1	9	0.00		
111	8	9	0.00		
112	0	9	0.00		
113	9	9	1.00		
114	9	9	1.00		
115	9	9	1.00		
116	1	9	0.00		
117	1	9	0.00		
118	6	9	0.00		
119	9	9	1.00		
