inst#,actual,predicted,error,prediction,id
1,1:?,7:Neutral,,0.45,31
2,1:?,2:Cry,,0.42,32
3,1:?,1:Clap,,0.261,33
4,1:?,6:Hands,,0.388,34
5,1:?,8:Shrug,,0.746,35
6,1:?,1:Clap,,0.368,36
7,1:?,1:Clap,,0.436,37
8,1:?,3:Disappoint,,0.449,38
9,1:?,6:Hands,,1,39
10,1:?,6:Hands,,1,310
11,1:?,1:Clap,,0.344,311
12,1:?,1:Clap,,0.524,312
13,1:?,7:Neutral,,0.385,313
14,1:?,10:Upside,,0.933,314
15,1:?,1:Clap,,0.344,315
16,1:?,9:Think,,0.31,316
17,1:?,1:Clap,,0.325,317
18,1:?,2:Cry,,0.215,318
19,1:?,2:Cry,,0.852,319
20,1:?,3:Disappoint,,0.316,320
21,1:?,6:Hands,,0.8,321
22,1:?,2:Cry,,0.386,322
23,1:?,1:Clap,,0.259,323
24,1:?,7:Neutral,,0.993,324
25,1:?,1:Clap,,0.376,325
26,1:?,4:Explode,,0.393,326
27,1:?,1:Clap,,0.529,327
28,1:?,1:Clap,,0.19,328
29,1:?,9:Think,,0.447,329
30,1:?,9:Think,,0.499,330
31,1:?,10:Upside,,0.834,331
32,1:?,2:Cry,,0.664,332
33,1:?,10:Upside,,0.882,333
34,1:?,8:Shrug,,0.589,334
35,1:?,1:Clap,,0.222,335
36,1:?,6:Hands,,0.986,336
37,1:?,9:Think,,0.769,337
38,1:?,3:Disappoint,,1,338
39,1:?,8:Shrug,,0.592,339
40,1:?,2:Cry,,0.785,340
41,1:?,1:Clap,,0.344,341
42,1:?,2:Cry,,0.246,342
43,1:?,2:Cry,,0.427,343
44,1:?,1:Clap,,0.222,344
45,1:?,9:Think,,0.215,345
46,1:?,1:Clap,,0.513,346
47,1:?,6:Hands,,0.395,347
48,1:?,8:Shrug,,0.359,348
49,1:?,2:Cry,,0.457,349
50,1:?,7:Neutral,,0.682,350
51,1:?,2:Cry,,0.3,351
52,1:?,3:Disappoint,,0.298,352
53,1:?,6:Hands,,1,353
54,1:?,10:Upside,,0.963,354
55,1:?,6:Hands,,1,355
56,1:?,5:FacePalm,,0.993,356
57,1:?,1:Clap,,0.344,357
58,1:?,8:Shrug,,0.876,358
59,1:?,7:Neutral,,0.647,359
60,1:?,2:Cry,,0.882,360
61,1:?,1:Clap,,0.182,361
62,1:?,9:Think,,0.948,362
63,1:?,2:Cry,,0.761,363
64,1:?,2:Cry,,0.367,364
65,1:?,7:Neutral,,0.785,365
66,1:?,6:Hands,,0.829,366
67,1:?,2:Cry,,0.246,367
68,1:?,9:Think,,0.748,368
69,1:?,9:Think,,0.986,369
70,1:?,10:Upside,,0.685,370
71,1:?,2:Cry,,0.232,371
72,1:?,1:Clap,,0.222,372
73,1:?,8:Shrug,,0.263,373
74,1:?,10:Upside,,0.856,374
75,1:?,4:Explode,,1,375
76,1:?,8:Shrug,,0.996,376
77,1:?,10:Upside,,0.201,377
78,1:?,2:Cry,,0.26,378
79,1:?,1:Clap,,0.266,379
80,1:?,1:Clap,,0.29,380
81,1:?,10:Upside,,0.755,381
82,1:?,9:Think,,0.352,382
83,1:?,10:Upside,,0.341,383
84,1:?,4:Explode,,0.388,384
85,1:?,9:Think,,0.473,385
86,1:?,10:Upside,,0.566,386
87,1:?,1:Clap,,0.31,387
88,1:?,9:Think,,0.447,388
89,1:?,4:Explode,,0.447,389
90,1:?,10:Upside,,0.303,390
91,1:?,1:Clap,,0.33,391
92,1:?,6:Hands,,1,392
93,1:?,4:Explode,,0.64,393
94,1:?,8:Shrug,,0.411,394
95,1:?,9:Think,,0.307,395
96,1:?,2:Cry,,0.252,396
97,1:?,2:Cry,,0.28,397
98,1:?,4:Explode,,0.908,398
99,1:?,7:Neutral,,0.995,399
100,1:?,10:Upside,,0.193,3100
101,1:?,1:Clap,,0.628,3101
102,1:?,10:Upside,,0.564,3102
103,1:?,9:Think,,0.656,3103
104,1:?,9:Think,,0.579,3104
105,1:?,2:Cry,,0.554,3105
106,1:?,1:Clap,,1,3106
107,1:?,1:Clap,,0.343,3107
108,1:?,2:Cry,,0.233,3108
109,1:?,8:Shrug,,0.644,3109
110,1:?,10:Upside,,0.501,3110
111,1:?,2:Cry,,0.852,3111
112,1:?,9:Think,,0.982,3112
113,1:?,1:Clap,,0.555,3113
114,1:?,1:Clap,,0.299,3114
115,1:?,1:Clap,,0.216,3115
116,1:?,10:Upside,,0.997,3116
117,1:?,10:Upside,,0.95,3117
118,1:?,6:Hands,,0.493,3118
119,1:?,1:Clap,,0.221,3119
120,1:?,3:Disappoint,,1,3120
121,1:?,8:Shrug,,0.625,3121
122,1:?,8:Shrug,,0.726,3122
123,1:?,1:Clap,,0.225,3123
124,1:?,7:Neutral,,0.222,3124
125,1:?,1:Clap,,0.343,3125
126,1:?,9:Think,,0.949,3126
127,1:?,9:Think,,0.881,3127
128,1:?,10:Upside,,0.781,3128
129,1:?,1:Clap,,0.177,3129
130,1:?,8:Shrug,,0.528,3130
131,1:?,1:Clap,,0.735,3131
132,1:?,6:Hands,,1,3132
133,1:?,7:Neutral,,0.612,3133
134,1:?,10:Upside,,0.582,3134
135,1:?,1:Clap,,0.453,3135
136,1:?,4:Explode,,0.358,3136
137,1:?,1:Clap,,0.343,3137
138,1:?,1:Clap,,0.266,3138
139,1:?,2:Cry,,0.395,3139
140,1:?,1:Clap,,0.509,3140
141,1:?,9:Think,,0.986,3141
142,1:?,1:Clap,,0.51,3142
143,1:?,9:Think,,0.446,3143
144,1:?,1:Clap,,0.343,3144
145,1:?,1:Clap,,0.36,3145
146,1:?,7:Neutral,,0.467,3146
147,1:?,9:Think,,0.234,3147
148,1:?,1:Clap,,0.453,3148
149,1:?,10:Upside,,0.4,3149
150,1:?,2:Cry,,0.806,3150
151,1:?,6:Hands,,0.994,3151
152,1:?,8:Shrug,,0.3,3152
153,1:?,2:Cry,,0.316,3153
154,1:?,8:Shrug,,0.264,3154
155,1:?,1:Clap,,0.19,3155
156,1:?,6:Hands,,1,3156
157,1:?,10:Upside,,0.487,3157
158,1:?,1:Clap,,0.461,3158
159,1:?,5:FacePalm,,0.999,3159
160,1:?,7:Neutral,,0.387,3160
161,1:?,1:Clap,,0.711,3161
162,1:?,1:Clap,,0.247,3162
163,1:?,9:Think,,0.303,3163
164,1:?,10:Upside,,0.973,3164
165,1:?,9:Think,,0.987,3165
166,1:?,8:Shrug,,0.892,3166
167,1:?,4:Explode,,1,3167
168,1:?,9:Think,,0.867,3168
169,1:?,1:Clap,,0.343,3169
170,1:?,10:Upside,,0.762,3170
171,1:?,4:Explode,,0.291,3171
172,1:?,7:Neutral,,0.528,3172
173,1:?,1:Clap,,0.221,3173
174,1:?,10:Upside,,0.978,3174
175,1:?,7:Neutral,,0.462,3175
176,1:?,8:Shrug,,0.967,3176
177,1:?,6:Hands,,1,3177
178,1:?,6:Hands,,0.393,3178
179,1:?,10:Upside,,1,3179
180,1:?,1:Clap,,0.221,3180
181,1:?,4:Explode,,0.365,3181
182,1:?,9:Think,,0.987,3182
183,1:?,1:Clap,,0.221,3183
184,1:?,9:Think,,0.496,3184
185,1:?,8:Shrug,,0.994,3185
186,1:?,4:Explode,,0.483,3186
187,1:?,1:Clap,,0.731,3187
188,1:?,10:Upside,,0.907,3188
189,1:?,1:Clap,,0.71,3189
190,1:?,7:Neutral,,0.551,3190
191,1:?,10:Upside,,0.463,3191
192,1:?,10:Upside,,0.684,3192
193,1:?,2:Cry,,0.852,3193
194,1:?,3:Disappoint,,0.327,3194
195,1:?,8:Shrug,,0.877,3195
196,1:?,1:Clap,,0.474,3196
197,1:?,1:Clap,,0.504,3197
198,1:?,10:Upside,,0.857,3198
199,1:?,9:Think,,0.857,3199
200,1:?,9:Think,,0.711,3200
201,1:?,1:Clap,,0.373,3201
202,1:?,1:Clap,,0.221,3202
203,1:?,1:Clap,,0.221,3203
204,1:?,8:Shrug,,0.694,3204
205,1:?,1:Clap,,0.938,3205
206,1:?,9:Think,,0.227,3206
207,1:?,3:Disappoint,,0.639,3207
208,1:?,1:Clap,,0.308,3208
209,1:?,3:Disappoint,,0.385,3209
210,1:?,8:Shrug,,0.372,3210
211,1:?,1:Clap,,0.399,3211
212,1:?,10:Upside,,0.761,3212
213,1:?,7:Neutral,,0.434,3213
214,1:?,9:Think,,0.787,3214
215,1:?,9:Think,,0.349,3215
216,1:?,1:Clap,,0.343,3216
217,1:?,6:Hands,,0.393,3217
218,1:?,9:Think,,0.978,3218
219,1:?,2:Cry,,0.874,3219
220,1:?,9:Think,,0.729,3220
221,1:?,7:Neutral,,0.358,3221
222,1:?,9:Think,,0.718,3222
223,1:?,9:Think,,0.794,3223
224,1:?,1:Clap,,0.343,3224
225,1:?,2:Cry,,0.344,3225
226,1:?,3:Disappoint,,0.383,3226
227,1:?,2:Cry,,0.489,3227
228,1:?,6:Hands,,0.874,3228
229,1:?,10:Upside,,0.515,3229
230,1:?,6:Hands,,0.657,3230
231,1:?,6:Hands,,0.564,3231
232,1:?,1:Clap,,0.221,3232
233,1:?,1:Clap,,0.352,3233
234,1:?,1:Clap,,0.343,3234
235,1:?,6:Hands,,0.992,3235
236,1:?,6:Hands,,1,3236
237,1:?,2:Cry,,0.416,3237
238,1:?,8:Shrug,,0.84,3238
239,1:?,1:Clap,,0.343,3239
240,1:?,9:Think,,0.707,3240
241,1:?,8:Shrug,,0.835,3241
242,1:?,7:Neutral,,0.354,3242
243,1:?,9:Think,,0.583,3243
244,1:?,1:Clap,,0.343,3244
245,1:?,1:Clap,,0.488,3245
246,1:?,2:Cry,,0.469,3246
247,1:?,4:Explode,,0.291,3247
248,1:?,7:Neutral,,0.522,3248
249,1:?,7:Neutral,,0.611,3249
250,1:?,1:Clap,,0.375,3250
251,1:?,8:Shrug,,0.506,3251
252,1:?,6:Hands,,1,3252
253,1:?,9:Think,,0.94,3253
254,1:?,10:Upside,,0.678,3254
255,1:?,9:Think,,0.249,3255
256,1:?,1:Clap,,0.552,3256
257,1:?,9:Think,,0.906,3257
258,1:?,8:Shrug,,0.374,3258
259,1:?,9:Think,,0.549,3259
260,1:?,10:Upside,,0.314,3260
261,1:?,7:Neutral,,0.49,3261
262,1:?,1:Clap,,0.343,3262
263,1:?,1:Clap,,0.221,3263
264,1:?,10:Upside,,0.499,3264
265,1:?,10:Upside,,0.511,3265
266,1:?,4:Explode,,0.648,3266
267,1:?,3:Disappoint,,0.977,3267
268,1:?,7:Neutral,,0.993,3268
269,1:?,10:Upside,,0.981,3269
270,1:?,9:Think,,1,3270
271,1:?,6:Hands,,0.679,3271
272,1:?,1:Clap,,0.216,3272
273,1:?,10:Upside,,0.351,3273
274,1:?,2:Cry,,0.472,3274
275,1:?,7:Neutral,,0.354,3275
276,1:?,7:Neutral,,0.804,3276
277,1:?,4:Explode,,0.286,3277
278,1:?,6:Hands,,1,3278
279,1:?,10:Upside,,0.247,3279
280,1:?,2:Cry,,0.356,3280
281,1:?,1:Clap,,0.51,3281
282,1:?,7:Neutral,,0.481,3282
283,1:?,10:Upside,,0.987,3283
284,1:?,4:Explode,,1,3284
285,1:?,1:Clap,,0.221,3285
286,1:?,1:Clap,,0.343,3286
287,1:?,8:Shrug,,0.291,3287
288,1:?,10:Upside,,0.286,3288
289,1:?,1:Clap,,0.297,3289
290,1:?,4:Explode,,1,3290
291,1:?,10:Upside,,0.502,3291
292,1:?,9:Think,,0.446,3292
293,1:?,10:Upside,,0.294,3293
294,1:?,7:Neutral,,0.321,3294
295,1:?,6:Hands,,0.937,3295
296,1:?,9:Think,,0.454,3296
297,1:?,1:Clap,,0.465,3297
298,1:?,8:Shrug,,0.984,3298
299,1:?,7:Neutral,,0.186,3299
300,1:?,7:Neutral,,0.515,3300
301,1:?,10:Upside,,0.613,3301
302,1:?,10:Upside,,0.877,3302
303,1:?,1:Clap,,0.372,3303
304,1:?,4:Explode,,0.339,3304
305,1:?,6:Hands,,0.895,3305
306,1:?,3:Disappoint,,0.851,3306
307,1:?,7:Neutral,,0.521,3307
308,1:?,1:Clap,,0.938,3308
309,1:?,7:Neutral,,0.412,3309
310,1:?,10:Upside,,0.243,3310
311,1:?,1:Clap,,0.515,3311
312,1:?,7:Neutral,,0.488,3312
313,1:?,1:Clap,,0.335,3313
314,1:?,2:Cry,,0.858,3314
315,1:?,1:Clap,,0.343,3315
316,1:?,8:Shrug,,0.712,3316
317,1:?,7:Neutral,,0.327,3317
318,1:?,2:Cry,,0.399,3318
319,1:?,7:Neutral,,0.46,3319
320,1:?,1:Clap,,0.221,3320
321,1:?,6:Hands,,0.954,3321
322,1:?,3:Disappoint,,0.941,3322
323,1:?,6:Hands,,0.947,3323
324,1:?,10:Upside,,0.334,3324
325,1:?,2:Cry,,0.329,3325
326,1:?,2:Cry,,0.295,3326
327,1:?,1:Clap,,0.207,3327
328,1:?,4:Explode,,0.365,3328
329,1:?,6:Hands,,0.924,3329
